Sequence,metric,variant,lambda_rate,BPP,metric_value,on_internal_pareto_frontier
Bosphorous,MS-SSIM,No_CBAM,0.0067,0.4441416355337136,0.9149021824200948,True
Bosphorous,MS-SSIM,No_CBAM,0.025,0.0135626221029356,0.6002786149581273,False
Bosphorous,LPIPS,Baseline,0.0018,0.0091562947716732,0.3852878476182619,True
Bosphorous,LPIPS,Baseline,0.0067,0.0053014352123862,0.3883236885070801,True
Bosphorous,LPIPS,Baseline,0.025,0.004670539665308,0.4013395448525746,True
Bosphorous,LPIPS,Full_ATIC,0.0018,0.5089596229835792,0.2871322706341743,False
Bosphorous,LPIPS,Full_ATIC,0.0067,0.1308627778198493,0.3788658554355303,True
Bosphorous,LPIPS,Full_ATIC,0.025,0.0153324114167641,0.4336361313859622,False
Bosphorous,LPIPS,No_AdaptiveQuant,0.0018,0.4970095898349589,0.2564408386747042,True
Bosphorous,LPIPS,No_AdaptiveQuant,0.0067,0.1282130497904961,0.4059028223156929,False
Bosphorous,LPIPS,No_AdaptiveQuant,0.025,0.0399871323981893,0.428655148545901,False
Bosphorous,LPIPS,No_CBAM,0.0018,0.5202892837210447,0.2638267124692598,False
Bosphorous,LPIPS,No_CBAM,0.0067,0.4441416355337136,0.2869531959295273,True
Bosphorous,LPIPS,No_CBAM,0.025,0.0135626221029356,0.4305481185515721,False
Bosphorous,DISTS,Baseline,0.0018,0.0091562947716732,0.4490848928689956,True
Bosphorous,DISTS,Baseline,0.0067,0.0053014352123862,0.4948006381591161,True
Bosphorous,DISTS,Baseline,0.025,0.004670539665308,0.5022666295369466,True
Bosphorous,DISTS,Full_ATIC,0.0018,0.5089596229835792,0.1762187202771504,False
Bosphorous,DISTS,Full_ATIC,0.0067,0.1308627778198493,0.4178523083527883,True
Bosphorous,DISTS,Full_ATIC,0.025,0.0153324114167641,0.6808515250682831,False
Bosphorous,DISTS,No_AdaptiveQuant,0.0018,0.4970095898349589,0.139574384689331,True
Bosphorous,DISTS,No_AdaptiveQuant,0.0067,0.1282130497904961,0.4433604478836059,True
Bosphorous,DISTS,No_AdaptiveQuant,0.025,0.0399871323981893,0.6780980080366135,False
Bosphorous,DISTS,No_CBAM,0.0018,0.5202892837210447,0.156227758526802,False
Bosphorous,DISTS,No_CBAM,0.0067,0.4441416355337136,0.1849953174591064,True
